"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1447927_at",-0.0727052631578951,6.12882051282051,-0.911972736916218,0.367299592707623,0.729750265490288,-5.94982959772001
"1452625_at",-0.0795421052631583,9.87005128205128,-0.911906527624132,0.367334018953267,0.729755535847082,-5.94988841182443
"1423697_at",-0.146839473684211,10.7294871794872,-0.91187391192276,0.367350978611326,0.729755535847082,-5.94991738304083
"1435903_at",-0.0769763157894742,6.59705128205128,-0.91172578261222,0.367428009925757,0.729849603685916,-5.95004894786493
"1446232_at",-0.0964263157894736,7.69407692307692,-0.911689132059915,0.367447070832957,0.729849603685916,-5.95008149682869
"1422975_at",-0.0556289473684211,6.24905128205128,-0.911524182435368,0.367532864345861,0.729971599860348,-5.95022797131648
"1451230_a_at",-0.197028947368422,8.96753846153846,-0.911381554405924,0.36760705840584,0.730037729064157,-5.95035460387084
"1421131_a_at",-0.0699184210526316,6.76351282051282,-0.911316334424146,0.36764098859142,0.730037729064157,-5.9504125032267
"1419426_s_at",0.0769078947368422,8.28928205128205,0.911305200201971,0.367646781285831,0.730037729064157,-5.95042238729001
"1449478_at",-0.0581131578947364,6.85346153846154,-0.91126239184455,0.367669053326881,0.730037729064157,-5.95046038801563
"1418223_at",-0.109778947368421,8.50828205128205,-0.911225899814074,0.367688039841188,0.730037729064157,-5.95049278042533
"1429294_at",0.0825473684210523,7.69138461538462,0.911038323209211,0.367785644467599,0.730183113434545,-5.95065926452367
"1423445_at",0.237084210526316,9.37989743589744,0.910929144534341,0.367842462803047,0.730247508848498,-5.95075615122412
"1421792_s_at",-0.0650184210526316,7.59102564102564,-0.91063215757508,0.367997048298864,0.7304762082956,-5.95101964538263
"1452478_at",0.0833315789473682,6.58710256410256,0.910593495847922,0.368017175309291,0.7304762082956,-5.95105394096738
"1428148_s_at",0.0573210526315788,7.01197435897436,0.910548277486289,0.368040716558166,0.7304762082956,-5.95109405096397
"1439301_at",0.121365789473684,7.35092307692308,0.910513313437478,0.36805891994988,0.7304762082956,-5.95112506378021
"1452434_s_at",-0.0896657894736846,7.07833333333333,-0.910473560436008,0.368079617329089,0.7304762082956,-5.95116032297142
"1442829_at",0.0671657894736844,6.7251282051282,0.910314154123325,0.368162619698166,0.730528844017096,-5.95130169465878
"1416290_a_at",0.193686842105263,10.9765897435897,0.910272268626762,0.368184431352196,0.730528844017096,-5.95133883745589
"1452833_at",0.233228947368421,9.09902564102564,0.910242658385026,0.368199851235142,0.730528844017096,-5.95136509393901
"1443476_at",-0.0955,6.91402564102564,-0.910235249327981,0.368203709654348,0.730528844017096,-5.95137166369262
"1417393_a_at",-0.20566052631579,9.16574358974359,-0.910155707472151,0.36824513436184,0.730562634406648,-5.95144219176182
"1451016_at",-0.0682394736842109,6.33579487179487,-0.909957590294608,0.368348325159648,0.730691004988945,-5.95161783237935
"1435742_at",-0.0731289473684206,7.58907692307692,-0.909923323351103,0.368366175246013,0.730691004988945,-5.95164820799425
"1431866_at",-0.0668184210526319,6.26210256410256,-0.909873698358984,0.36839202652594,0.730691004988945,-5.9516921956669
"1451664_x_at",-0.103236842105263,8.17679487179487,-0.909815126875942,0.368422539833617,0.730691004988945,-5.95174411056683
"1459851_x_at",0.127026315789474,6.98361538461538,0.909795130550632,0.368432957461718,0.730691004988945,-5.95176183359929
"1447084_at",-0.0819868421052636,6.85069230769231,-0.90973024640131,0.368466761930162,0.730691004988945,-5.95181933879017
